, Emotion, Text
614,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
615,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
616,puas, Pelayanan sangat baik dan memuaskan.
617,senang,senang dengan respons cepat dari tata usaha kampus.
618,biasa saja, Pelayanan tata usaha kampus standar saja.
619,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
620,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
621,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
622,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
623,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
624,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
625,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
626,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
627,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
628,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
629,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
630,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
631,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
632,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
633,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
634,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
635,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
636,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
637,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
638,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
639,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
640,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
641,puas, Pelayanan sangat baik dan memuaskan.
642,senang,senang dengan respons cepat dari tata usaha kampus.
643,biasa saja, Pelayanan tata usaha kampus standar saja.
644,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
645,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
646,puas, Pelayanan sangat baik dan memuaskan.
647,senang,senang dengan respons cepat dari tata usaha kampus.
648,biasa saja, Pelayanan tata usaha kampus standar saja.
649,kesal, Tata usaha kampus kurang respons
650,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
651,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
652,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
653,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
654,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
655,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
656,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
657,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
658,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
659,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
660,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
661,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
662,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
663,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
664,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
665,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
666,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
667,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
668,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
669,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
670,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
671,puas, Pelayanan sangat baik dan memuaskan.
672,senang,senang dengan respons cepat dari tata usaha kampus.
673,biasa saja, Pelayanan tata usaha kampus standar saja.
674,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
675,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
676,puas, Pelayanan sangat baik dan memuaskan.
677,senang,senang dengan respons cepat dari tata usaha kampus.
678,biasa saja, Pelayanan tata usaha kampus standar saja.
679,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
680,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
681,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
682,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
683,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
684,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
685,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
686,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
687,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
688,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
689,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
690,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
691,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
692,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
693,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
694,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
695,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
696,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
697,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
698,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
699,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
700,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
701,puas, Pelayanan sangat baik dan memuaskan.
702,senang,senang dengan respons cepat dari tata usaha kampus.
703,biasa saja, Pelayanan tata usaha kampus standar saja.
704,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
705,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
706,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
707,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
708,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
709,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
710,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
711,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
712,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
713,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
714,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
715,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
716,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan membantu.
717,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
718,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
719,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
720,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
721,puas, Pelayanan tata usaha kampus memberikan pelayanan yang sangat memuaskan.
722,senang, Sayasenang dengan pelayanan prima dari tata usaha kampus.
723,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
724,kesal, Sayakesal karena tata usaha kampus seringkali lamban dalam menyelesaikan administrasi.
725,kecewa, Saya merasa kecewa  dengan kurangnya tanggung jawab dari tata usaha kampus.
726,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat baik dan memuaskan.
727,senang, Sayasenang dengan pelayanan ramah dan efisien dari tata usaha kampus.
728,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
729,kesal, Sayakesal karena tata usaha kampus tidak responsif terhadap masalah mahasiswa.
730,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang lambat dan kurang komunikatif.
731,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan membantu.
732,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
733,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
734,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
735,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
736,puas, Pelayanan tata usaha kampus memberikan pelayanan yang sangat memuaskan.
737,senang, Sayasenang dengan pelayanan prima dari tata usaha kampus.
738,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
739,kesal, Sayakesal karena tata usaha kampus seringkali lamban dalam menyelesaikan administrasi.
740,kecewa, Saya merasa kecewa  dengan kurangnya tanggung jawab dari tata usaha kampus.
741,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
742,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
743,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
744,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
745,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
746,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
747,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
748,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
749,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
750,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
751,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
752,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
753,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
754,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
755,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
756,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
757,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
758,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
759,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
760,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
761,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan membantu.
762,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
763,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
764,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
765,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
766,puas, Pelayanan tata usaha kampus memberikan pelayanan yang sangat memuaskan.
767,senang, Sayasenang dengan pelayanan prima dari tata usaha kampus.
768,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
769,kesal, Sayakesal karena tata usaha kampus seringkali lamban dalam menyelesaikan administrasi.
770,kecewa, Saya merasa kecewa  dengan kurangnya tanggung jawab dari tata usaha kampus.
771,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat baik dan memuaskan.
772,senang, Sayasenang dengan pelayanan ramah dan efisien dari tata usaha kampus.
773,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
774,kesal, Sayakesal karena tata usaha kampus tidak responsif terhadap masalah mahasiswa.
775,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang lambat dan kurang komunikatif.
776,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan membantu.
777,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
778,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
779,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
780,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
781,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
782,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
783,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
784,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
785,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
786,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
787,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
788,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
789,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
790,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
791,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
792,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
793,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
794,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
795,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
796,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
797,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
798,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
799,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
800,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
801,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
802,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
803,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
804,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
805,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
806,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
807,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
808,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
809,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
810,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
811,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
812,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
813,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
814,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
815,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
816,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
817,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
818,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
819,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
820,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
821,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
822,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan responsif.
823,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
824,kesal, Sayakesal karena tata usaha kampus seringkali lamban dalam menanggapi permohonan izin.
825,kecewa, Saya merasa kecewa  dengan ketidakjelasan proses pendaftaran di tata usaha kampus.
826,puas, Pelayanan tata usaha kampus sangat membantu dan sigap dalam menangani permasalahan mahasiswa.
827,senang, Sayasenang dengan keramahan dan kecepatan pelayanan tata usaha kampus.
828,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
829,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang akurat.
830,kecewa, Saya merasa kecewa  dengan sikap kurang sopan dari staf tata usaha kampus.
831,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu.
832,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
833,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
834,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
835,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
836,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
837,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
838,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
839,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
840,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
841,puas, Pelayanan tata usaha kampus sangat memuaskan dan membantu dalam penyelesaian administrasi.
842,senang, Sayasenang dengan sistem pelayanan yang efisien dan terorganisir di tata usaha kampus.
843,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
844,kesal, Sayakesal karena tata usaha kampus sering membuatkesalahan dalam mengelola data pribadi mahasiswa.
845,kecewa, Saya merasa kecewa  karena staf tata usaha kampus tidak memberikan bantuan yang memadai dalam proses pendaftaran.
846,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan tepat waktu.
847,senang, Sayasenang dengan keramahan dan kesigapan staf tata usaha kampus dalam memberikan informasi.
848,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
849,kesal, Sayakesal karena sering kali tata usaha kampus memperlakukan mahasiswa secara tidak adil.
850,kecewa, Saya merasa kecewa  dengan sistem tata usaha kampus yang kurang efisien dan sering bermasalah.
851,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan membantu dengan baik.
852,senang, Sayasenang dengan respons cepat dan kesigapan staf tata usaha kampus dalam menangani pertanyaan.
853,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
854,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam mengurus surat-surat mahasiswa.
855,kecewa, Saya merasa kecewa  dengan kurangnya perhatian dari pihak tata usaha kampus terhadap masalah mahasiswa.
856,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan membantu.
857,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
858,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
859,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
860,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
861,puas, Pelayanan tata usaha kampus sangat baik dan membantu dalam menyelesaikan masalah akademik.
862,senang, Sayasenang dengan pelayanan tata usaha kampus yang selalu siap membantu dengan senyuman.
863,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
864,kesal, Sayakesal karena tata usaha kampus seringkali tidak responsif terhadap keluhan mahasiswa.
865,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang kurang berkomunikasi dengan jelas.
866,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan efisien.
867,senang, Sayasenang dengan respon cepat dan tanggap dari tata usaha kampus.
868,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
869,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam menanggapi keluhan mahasiswa.
870,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
871,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
872,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
873,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
874,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
875,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
876,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
877,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
878,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
879,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
880,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
881,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
882,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
883,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
884,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
885,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
886,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
887,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
888,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
889,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
890,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
891,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
892,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
893,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
894,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
895,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
896,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
897,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
898,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
899,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
900,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
901,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
902,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
903,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
904,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
905,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
906,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
907,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
908,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
909,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
910,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
911,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
912,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
913,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
914,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
915,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
916,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
917,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
918,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
919,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
920,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
921,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
922,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
923,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
924,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
925,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
926,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
927,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
928,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
929,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
930,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
931,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
932,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
933,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
934,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
935,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
936,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
937,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
938,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
939,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
940,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
941,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
942,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
943,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
944,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
